"Procedure","Statement","producer statement","Consumer Statements","cost(s)","total data size","Fragments"
"1","1","{}","{2,3}","0.114026","202672","{16,24, 30, 52, 59,60}"
"","2","{1}","{3}","0.07813","0",""
"","3","{1,2}","{7}","0.200103","63152",""
"","4","{}","{5,6}","0.240052","1682352","{1, 3,4, 24,30,52,57,64,74,87,91}"
"","5","{4}","{6}","0.08012","0",""
"","6","{4,5}","{7}","0.25525","656","{}"
"","7","{3,6}","{}","0.300235","519072","{}"
"2","8","{}","{9,10}","0.170942","18128012","{24,30,186,189,190,203,204,205,207,222,233}"
"","9","{8}","{10}","0.07813","0",""
"","10","{8,9}","{14}","0.125236","10793888","{}"
"","11","{}","{12,13}","0.240052","1682352","{1, 3,4, 24,30,52,57,64,74,87,91}"
"","12","{11}","{13}","0.08012","0",""
"","13","{11,12}","{14}","0.25525","656","{}"
"","14","{10,13}","{}","0.300235","12851396","{}"
"3","15","{}","{16,17}","0.337858","41307296","{24,30,125,128,140,142,143,144,146,161}"
"","16","{15}","{20}","0.07813","0",""
"","17","{15,16}","{21}","0.18036","24733920","{}"
"","18","{}","{19,20}","0.240052","1682352","{1, 3,4, 24,30,52,57,64,74,87,91}"
"","19","{18}","{20}","0.08012","0",""
"","20","{19,20}","{21}","0.25525","656","{}"
"","21","{17,20}","{}","0.300235","25762000","{}"
"4","22","{}","{23,24}","0.424524","78374144","{2,3,4,10,11,12,14,30,107,114}"
"","23","{22}","{24}","0.07813","0",""
"","24","{22,23}","{28}","0.450258","46979232","{}"
"","25","{}","{26,27}","0.240052","1682352","{1, 3,4, 24,30,52,57,64,74,87,91}"
"","26","{25}","{27}","0.08012","0",""
"","27","{25,26}","{28}","0.25525","656","{}"
"","28","{24,27}","{}","0.300235","195763920","{}"
"5","29","{}","{30}","0.201885","39685626","{4,15,18,24,30,87,88,95,96,97,101,102,103}"
"","30","{29}","{31,32}","0.40025","6440","{}"
"","31","{30}","{32}","0.07813","0",""
"","32","{30,31}","36}","0.64681","6440","{}"
"","33","{}","{34,35}","0.240052","1682352","{1, 3,4, 24,30,52,57,64,74,87,91}"
"","34","{33}","{35}","0.08012","0",""
"","35","{33,34}","{36}","0.25525","656","{}"
"","36","{32,35}","{}","0.300235","13248","{}"
"6","37","{}","{39}","0.123028","1616256","{1,7,16,24,30,34,74,81}"
"","38","{}","{39}","0.098022","1072720","{24,30,34,74,81,186,193,209}"
"","39","{37,38}","{40.41}","0.264671","3366","{}"
"","40","{39}","{41}","0.07813","0",""
"","41","{39,40}","{45}","0.44023","66","{}"
"","42","{}","{43.44}","0.240052","1682352","{1, 3,4, 24,30,52,57,64,74,87,91}"
"","43","{42}","{44}","0.08012","0",""
"","44","{42,43}","{45}","0.25525","656","{}"
"","45","{41,44}","{}","0.300235","4","{}"
