Procedure,Statement,producer statement,consumer statement,cost,result size,Fragment
1,1,{},{2},0.0,1507,"{30,26,32,59,60,52,65,16,1,3} "
1,2,{1},{},1.265561,1004001,"{82,74,91,87,4,1,3,24,27,30,32,52,57,64} "
2,3,{},{6},0.45018,647429,"{189,190,204,205,207,203,186,233,222,30} "
2,4,{},{6},0.527954,1290853,"{140,128,143,144,146,142,125,175,161,30} "
2,5,{},{6},0.474114,2718783,"{3,4,11,12,10,1,114,107,30} "
2,6,"{3,4,5}",{},2.381097,238,{} 
3,7,{},{11},0.328211,73049,"{30,26,24} "
3,8,{},"{10 ,11}",0.31846,2880404,"{189,186,190,204} "
3,9,{},{10},0.290333,384,"{56,52,69} "
3,10,"{8,9}",{12},0.365645,61043,{} 
3,11,"{7,8}",{12},0.402319,2750311,{} 
3,12,"{10,11}",{13},0.428143,11580617,{} 
3,13,{12},{14},4.773748,10230729,{} 
3,14,{13},{15},5.727127,1,{87} 
3,15,{14},{},5.790002,1,{} 
4,16,{},{20},0.32846,73049,"{30,26,24} "
4,17,{},"{19 ,20}",0.350787,719384,"{3,1,4,11} "
4,18,{},{19},0.290333,384,"{56,52,69} "
4,19,"{17,18}",{21},0.377882,15340,{} 
4,20,"{16,17}",{21},0.368317,719195,{} 
4,21,"{19,20}",{22},0.422752,781408,{} 
4,22,{21},{23},5.737035,757605,{} 
4,23,{22},{24},5.83275,1,{87} 
4,24,{23},{},5.840125,1,{}
5,25,{},"{29 ,30 ,32}",0.061239,99090,"{88,95,96,97,101,102,103,87}"
5,26,{},"{29 ,30 ,32}",0.045698,73049,"{30,24}"
5,27,{},{29},0.047481,2880404,"{18,17,15,16,1,4}"
5,28,{},{30},0.064059,1441548,"{150,149,147,148,125,128}"
5,29,"{25,26,27}",{33},0.174254,188834,{}
5,30,"{25,26,28}",{33},0.169058,135789,{}
5,31,{},{32},0.06373,719384,"{186,211,210,208,209,190}"
5,32,"{25,26,31}",{33},0.171958,56139,{}
5,33,"{29,30,32}",{34},0.252135,380762,{}
5,34,{33},{35},6.432294,555294969,{}
5,35,{34},{},6.84,1,{}
6,36,{},"{40 ,41}",0.061239,99090,"{88,95,96,97,101,102,103,87}"
6,37,{},"{40 ,41}",0.045698,73049,"{30,24}"
6,38,{},{40},0.047481,2880404,"{18,15,1,4}"
6,39,{},{41},0.06373,719384,"{211,208,186,190}"
6,40,"{36,37,38}",{42},0.168967,188834,{}
6,41,"{36,37,39}",{42},0.18832,56139,{}
6,42,"{40,41}",{43},0.280631,244973,{}
6,43,{42},{44},1.139846,142888,{}
6,44,{43},{},1.496792,88,{}
7,45,{},"{51 ,52 ,55 ,58 ,59}",0.047481,2880404,"{1,3,11,14,4}"
7,46,{},"{52 ,55}",0.061239,99090,{87}
7,47,{},"{51 ,52 ,59}",0.045698,73049,"{30,26,24,32}"
7,48,{},{51},1.850266,18000,"{56,52}"
7,49,{},{59},0.06373,719384,"{125,143,145,140,128}"
7,50,{},{59},0.21029,2475827,"{190,204,206,186,189}"
7,51,"{45,47,48}",{56},0.172189,188834,{}
7,52,"{45,46,47}","{53 ,57 ,58}",0.153756,60896,{}
7,53,{52},{54},0.147734,1,{}
7,54,{53},{55},0.219802,914,{}
7,55,"{45,46,54}",{59},0.234782,12356,{}
7,56,{51},{59},0.185123,21358,{}
7,57,{52},{58},0.145325,1258,{}
7,58,"{45,52,57}",{59},0.189258,11235,{}
7,59,"{45,47,49,50,55,56,58}",{60},0.15826,1258,{}
7,60,{59},{61},0.12612,3654,{}
7,61,{60},{},0.19825,58745,{}
8,62,{},{65},0.204111,73,"{56,52,30,26,24,1,3}"
8,63,{},{64},0.202674,2660778,"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51}"
8,64,{63},{66},0.179046,84339,{}
8,65,{62},{68},0.166337,65,{}
8,66,{64},{67},0.178913,1,{}
8,67,{66},{68},0.218297,14,"{11,14,4,87}"
8,68,"{65,67}",{69},1.310686,1,"{30,32,24,96,95,87,143,145,125,140,128,204,206,186,189,190}"
8,69,{68},{},1.068279,1,{}
9,70,{},{72},0.06373,719384,"{189,207,186}"
9,71,{},{73},0.063103,2880404,"{3,1,14}"
9,72,{70},{74},0.364621,139446,{26}
9,73,{71},{74},0.535579,496932,{26}
9,74,"{72,73}",{75},0.856514,609620,{}
9,75,{74},{76},0.880542,609620,{}
9,76,{75},{},0.880542,100,{}
10,77,{},"{81 ,82}",0.061239,99090,"{87,95,96,88}"
10,78,{},{81},0.047481,2880404,"{21,1,4}"
10,79,{},"{83 ,84}",0.045698,73049,"{24,30}"
10,80,{},{82},0.06373,719384,"{215,190,186}"
10,81,"{77,78}",{83},0.116933,2725382,{}
10,82,"{77,80}",{84},0.124784,712794,{}
10,83,"{79,81}",{85},0.568468,75369,{}
10,84,"{79,82}",{85},0.484468,22606,{}
10,85,"{83,84}",{86},0.516122,97975,{}
10,86,{85},{},1.634438,1,{}
